timestamp,from,to,value
1708451061,frontend,adservice,3.006670122929287
1708451961,frontend,adservice,3.0285207040308557
1708452861,frontend,adservice,3.0434119393828385
1708453761,frontend,adservice,3.0425768695682187
1708454661,frontend,adservice,3.0349224853295613
1708455561,frontend,adservice,3.024761836375415
1708456461,frontend,adservice,3.030330233334665
1708457361,frontend,adservice,3.039236801797977
1708458261,frontend,adservice,3.0481448501369375
1708459161,frontend,adservice,3.013209618655254
1708460061,frontend,adservice,2.9981779479070108
1708460961,frontend,adservice,2.9941421952505127
1708461861,frontend,adservice,3.002246326611813
1708462761,frontend,adservice,3.012123648072396
1708463661,frontend,adservice,3.01253949034835
1708464561,frontend,adservice,3.0178303755986287
1708465461,frontend,adservice,3.0107331739986103
1708466361,frontend,adservice,3.0239487331578174
1708467261,frontend,adservice,3.016583904969088
1708468161,frontend,adservice,3.018671086071652
1708469061,frontend,adservice,3.0116855738465613
1708469961,frontend,adservice,2.999023661083047
1708470861,frontend,adservice,2.9974941549826166
1708471761,frontend,adservice,3.0040357684014243
1708472661,frontend,adservice,3.0018084894061268
1708473561,frontend,adservice,3.0081366100969786
1708474461,frontend,adservice,3.0284414632605237
1708475361,frontend,adservice,3.0218956260938246
1708476261,frontend,adservice,3.0257941961701667
1708477161,frontend,adservice,3.0344242860829
1708478061,frontend,adservice,3.037478941189815
1708478961,frontend,adservice,3.0376250910308826
1708479861,frontend,adservice,3.050847528442329
1708480761,frontend,adservice,3.0487064431018913
1708481661,frontend,adservice,3.0378581255997155
1708482561,frontend,adservice,3.0339651275639055
1708483461,frontend,adservice,3.0410596638508824
1708484361,frontend,adservice,3.047738343771747
1708485261,frontend,adservice,3.0428740720239222
1708486161,frontend,adservice,3.0455093629411234
1708487061,frontend,adservice,3.0286685236454858
1708487961,frontend,adservice,3.023654091188397
1708488861,frontend,adservice,3.022537928373703
1708489761,frontend,adservice,3.026434924386753
1708490661,frontend,adservice,3.02058985073907
1708491561,frontend,adservice,3.012238934305133
1708492461,frontend,adservice,3.009733094095348
1708493361,frontend,adservice,2.9953977179806026
1708494261,frontend,adservice,3.00500081906488
1708495161,frontend,adservice,3.0112644757261284
1708496061,frontend,adservice,3.014743307015162
1708496961,frontend,adservice,3.0200320861881726
1708497861,frontend,adservice,3.0179442001825194
1708498761,frontend,adservice,3.024903540702686
1708499661,frontend,adservice,3.0251821080018964
1708500561,frontend,adservice,3.0293574605617075
1708501461,frontend,adservice,3.0278267086508395
1708502361,frontend,adservice,3.034367461315016
1708503261,frontend,adservice,3.0271301845519494
1708504161,frontend,adservice,3.0267126494122505
1708505061,frontend,adservice,3.0406304892830547
1708505961,frontend,adservice,3.0475889850889852
1708506861,frontend,adservice,3.062899246265709
1708507761,frontend,adservice,3.0715283077190163
1708508661,frontend,adservice,3.075565123609242
1708509561,frontend,adservice,3.0676319526414746
1708510461,frontend,adservice,3.064847957378274
1708511361,frontend,adservice,3.0613687099305773
1708512261,frontend,adservice,3.0562193207229313
1708513161,frontend,adservice,3.0395176966318775
1708514061,frontend,adservice,3.0164147072659504
1708514961,frontend,adservice,3.0073678982544454
1708515861,frontend,adservice,3.002635413149325
1708516761,frontend,adservice,3.0044453599294085
1708517661,frontend,adservice,3.0151625208338038
