timestamp,adservice-cpu,cartservice-cpu,checkoutservice-cpu,currencyservice-cpu,emailservice-cpu,frontend-cpu,paymentservice-cpu,productcatalogservice-cpu,recommendationservice-cpu,redis-cart-cpu,shippingservice-cpu,adservice-mem,cartservice-mem,checkoutservice-mem,currencyservice-mem,emailservice-mem,frontend-mem,paymentservice-mem,productcatalogservice-mem,recommendationservice-mem,redis-cart-mem,shippingservice-mem
1708451061,10.537353990387123,-1.3462262357391284,-2.0103354860752285,0.188053760845366,-1.528244788283628,-1.4125596170004708,1.4539910776485998,-1.3764170715927413,-2.543347247550916,-1.3249294078460263,-1.9257767703987652,-1.7152092320902332,0.47024682877407253,-3.5674957097690925,-1.3294901427790955,-3.12008759559654,-2.2206755714834814,-1.1659147792659768,-2.4558670488430043,-1.6865210727487066,-1.8302737390067565,-2.0910788480006754
1708451961,7.884744868007304,-1.4024971612547144,-2.274937594597951,0.21361187006077997,-1.5996485176087805,-1.2725781968968124,0.8937557481238494,-1.1800115706255574,-2.456917518876525,-1.6469434114989527,-2.1308628087997916,-0.8679429150816361,0.6782705930663004,-3.5266853560406837,-1.2688430313091572,-2.7516882408233627,-1.8546072599311114,-1.591343217687538,-1.9132542645935409,-1.6067649460791371,-2.1026801436289984,-1.967629346331729
1708452861,5.962087695992098,-1.300649310408655,-2.2338936132400664,0.2354118899643216,-1.5108993344030204,-1.1348608759566319,0.8218658555538365,-0.9747541694286084,-2.345172791048992,-1.5273463279640116,-2.1662391682782887,-0.5158259273223513,0.44975033965741557,-3.1660100774569546,-1.1765918955499297,-1.6225075492112258,-1.8773185571409068,-1.458956440104619,-1.5157936249021549,-1.5073544852641374,-2.103808598972328,-1.9526613920446374
1708453761,4.2859731011041085,-1.3736804383008494,-2.2773599170611507,0.22962531295090458,-1.5050041384277746,-1.1855192202587208,0.5954302208165572,-1.1216434306157126,-2.454294445982531,-1.5435575208019907,-2.3118517744168474,0.31081268084264424,1.3554462582714832,-2.911751621492086,-1.1857394237576315,-1.239447234233354,-2.4792233735352953,-1.1179788669910367,-0.851417015682914,-1.415724113147441,-2.6301037405660743,-2.30022094150276
1708454661,3.0881135689412775,-1.3200775804706844,-2.0655345014722704,0.220056165636796,-1.4973844287846168,-1.2434489514037397,0.6549524423617067,-1.1582947933143963,-2.433632295669978,-1.63127276226653,-2.212011854396065,0.9900548211011512,1.0761090357199947,-2.7357903136491215,-0.8573052489609828,-1.124251353569643,-2.319016782546068,-0.669644400461855,-0.07912979779861597,-1.27262972317424,-2.729472063507475,-1.9815658142086185
1708455561,2.526573360715442,-1.309023295268358,-2.449778953806147,0.21932007280231816,-1.5195846854363684,-1.1952401357052624,0.0474789199234945,-1.093732047345886,-2.4521645647018038,-1.6789961946155465,-2.2812157858912947,1.015674380865035,0.8405651011438943,-2.4925103323089317,-0.6020351440211532,-1.138317499832461,-2.855787524211659,-0.4829968063353205,-0.4735187970616601,-1.3203436403770181,-2.0503069823263074,-1.491842633999784
1708456461,2.271438753475505,-1.2158591048477863,-2.2890198325972575,0.21170415550877986,-1.5263790141879454,-1.2330468010789855,0.01622344453661211,-1.1303190319569794,-2.3952362438209143,-1.719926846325155,-2.2004115098386516,0.9578133925298851,0.3558823018676023,-2.4877192251496623,-0.6604876275093242,-0.5715831188408871,-3.0871802845075487,-0.5207249724741931,-0.027719950762414083,-0.8966972738706984,-1.9309157047842187,-1.1649741339337045
1708457361,2.1972753644731804,-1.2373288646910419,-2.2641701453655845,0.20628098357029567,-1.5438790159546676,-1.2242696738447933,-0.09927548645252704,-1.0399496597850542,-2.3156960510245743,-1.746816532855435,-2.227214051761308,1.280925928303045,0.5742106043999701,-2.8150191282441948,-0.4656797373498288,-0.4567491063756818,-3.0776952792390824,-0.7267732920558264,0.03752097048861128,-0.9200621874152763,-1.9511863610474551,-0.9551995273569501
1708458261,1.591855699117969,-0.9765299949183335,-1.865776848620651,0.225390430482106,-1.5421910837207347,-1.1276973631260752,0.36270210193902025,-0.8573498808399398,-2.1818141441987677,-1.6599646470950273,-2.1075842130742553,1.2202750288894266,0.32427036545379745,-2.727091548107811,-0.6550819939274168,-0.5489971227167606,-3.1609386067920204,-0.8359707325007264,0.2282389684983863,-0.8532137283694545,-1.9394301318702694,-0.950936715949064
1708459161,1.1758081995786804,-0.9926209675484488,-1.3246121560993125,0.28317981571039746,-1.5554856465778197,-1.26207109388354,0.7536838981263291,-0.9940362729496585,-2.2300412779863326,-1.7521730696883948,-1.9394512649153968,0.8176550515749823,0.36183538909963436,-2.726327272214559,-0.49415465845523115,-0.5776694455492882,-3.4214689839911703,-0.06805971913352717,0.357752633565032,-0.7026709783716132,-1.9510446880912722,-1.3124048252301672
1708460061,0.7195207329081259,-1.0564360679450713,-1.4540746663221533,0.28125624269686655,-1.7677825554688962,-1.3094198928189695,0.32830757668432897,-1.0234210562801427,-2.3717875253247875,-1.599713261534791,-1.9651386380927731,0.8907777393138263,0.7067876827220091,-2.793718831018811,-0.6691707568358709,-0.8924592042854431,-3.42735832328274,0.29618436784709745,0.14580239354549124,-0.4886177917806658,-1.7962978552945088,-1.2563309196946686
1708460961,0.42002822809214596,-1.0884420405470567,-1.4922140768530545,0.30770581009586895,-1.9338637999798647,-1.1734000401782616,-0.026305103426372795,-0.9077138010986797,-2.4524573543838626,-1.4710923919371637,-1.8027977275603189,0.43053965198524696,0.12888150563062403,-2.384231850436131,-0.9381039446869309,-0.7992065702193553,-3.051955732397141,0.20375431113600445,-0.02998157670017489,-0.4189708696668672,-2.1390142308205062,-1.106638461742244
1708461861,0.10632728558448369,-0.9312441036518911,-1.429803203808365,0.3276616168280693,-2.0238542558969197,-1.007204693918109,-0.12766052046405882,-0.8143138628103457,-2.506602741057521,-1.263080274788786,-1.705384912008938,-0.04622242143357021,0.2554866833384308,-2.305389414830185,-0.9137196509372575,0.4433674933921742,-2.9311348522681633,0.725882539438902,-0.45619466896491884,-0.3298730949147644,-1.7356227765337544,-1.2606889840321769
1708462761,0.3494819639306136,-1.0114065519307434,-1.2273773271288368,0.3340874447853867,-2.096207778801782,-0.998968711659768,-0.056182665858599136,-0.8391260318547936,-2.598082531578911,-1.113994878062586,-1.6956346964342568,0.27661733835359853,0.7010616992940802,-2.6141018553385154,-1.1446265433871083,0.6759114939524471,-2.7814965211805913,0.7472969117179862,-0.77354674325287,-0.19576790847441702,-2.0296591925855343,-1.3162806937416798
1708463661,0.7233656940044215,-0.9672684216295289,-1.2995914448327208,0.36777758936329485,-2.1494933012988984,-0.8723372388143882,-0.3196462650107351,-0.8029840144896444,-2.6810496740973755,-0.7909667630989399,-1.5662872643862529,0.5140596839026246,0.6346921776634201,-2.61491995244213,-1.2983814205271251,0.35063920280184724,-2.766010629510642,0.6321470386749323,-1.4930113970259171,-0.4792219444149837,-1.5635596650006596,-1.585287775526028
1708464561,0.24925950707639094,-0.9876207921694978,-1.1311135456590664,0.3679002597856825,-2.170145095510357,-0.8483495965938886,-0.17631071705064294,-0.8529903109061421,-2.781351743690325,-0.5547361473181173,-1.5312097824969104,0.20952534925634395,0.2897426582304947,-2.5156604707111025,-1.3328845740377453,0.5997800373915865,-2.797434012914174,0.7843772992002442,-0.9778722777313809,-0.19670012162368183,-1.9300979241544456,-1.738952857853707
1708465461,0.3839086832379619,-0.9932187557252805,-1.1113241391115303,0.3822531596917655,-2.231464218752982,-0.8443639573637981,-0.24740759334922593,-0.809478087193987,-2.8224876106998673,-0.30571352530824786,-1.409568395154916,0.3546804158516407,0.4064897700527892,-2.099387054321513,-1.3218902904165508,1.146063624263468,-2.8775515601836843,1.4771163405062715,-1.6961921196709917,-0.25491385063353467,-2.344238160341246,-1.6364602496431258
1708466361,0.5521094474436293,-1.120631507682221,-1.2948805127990575,0.32066581797260846,-2.213278797590426,-0.7293854686529545,-0.6376221676893565,-0.5939707479721745,-2.7640551624673932,0.03833642556095881,-1.2314282189343315,0.6845399086780626,0.3835578469543465,-2.088648250801245,-1.4400013305232569,1.1810088707272357,-2.342673864621506,1.2839270439130543,-2.2029790767026753,0.2270327190322492,-1.91520997275926,-1.581058328642026
1708467261,0.475632298489875,-1.323228624154842,-1.3437665106989158,0.2803325538345094,-1.984367653528209,-0.8545333953204203,-0.5911372257105144,-0.7949499621575689,-2.811074211732574,0.004101087446720808,-1.0916955380378859,0.474207972984904,-0.07153514661187803,-1.8470838630069195,-1.3495063123787807,1.388095913618117,-2.0773268042415323,1.1867503287247203,-2.4030629433565487,0.3519533912954185,-2.2297376857866933,-1.4111859543649954
